iter	RMSE
0	14.6945427
1	14.21661644
2	13.77178153
3	13.35466355
4	12.9632218
5	12.61149627
6	12.29407045
7	12.01071822
8	11.66641837
9	11.3881781
10	11.0924719
11	10.79149359
12	10.53301154
13	10.26664071
14	10.03693759
15	9.815829067
16	9.603458284
17	9.384014004
18	9.184733504
19	8.99915219
20	8.83986969
21	8.658497744
22	8.524075362
23	8.373904115
24	8.231396134
25	8.094353604
26	7.967851526
27	7.839086545
28	7.731145856
29	7.626467591
30	7.525012193
31	7.412732484
32	7.330026256
33	7.254736757
34	7.160669808
35	7.109108898
36	7.020817761
37	6.944429012
38	6.884945833
39	6.820551417
40	6.767408456
41	6.715246607
42	6.651224533
43	6.613001707
44	6.561313625
45	6.501135963
46	6.460699415
47	6.401639737
48	6.362134842
49	6.318420684
50	6.291348723
51	6.24759032
52	6.213282219
53	6.186617952
54	6.150993247
55	6.117888499
56	6.086806877
57	6.062924842
58	6.03674053
59	6.001336931
60	5.975161365
61	5.951241089
62	5.924619666
63	5.907103267
64	5.880531247
65	5.864818915
66	5.843650553
67	5.821609171
68	5.80313991
69	5.784265938
70	5.764426514
71	5.741775084
72	5.723720655
73	5.707758438
74	5.695826816
75	5.683516264
76	5.67194692
77	5.661089982
78	5.643139703
79	5.623366092
80	5.607582657
81	5.597163155
82	5.585232448
83	5.569151728
84	5.55737794
85	5.545152989
86	5.536288146
87	5.528605532
88	5.522369985
89	5.516928358
90	5.51026492
91	5.503895774
92	5.493698986
93	5.482724969
94	5.471640437
95	5.467030485
96	5.45956112
97	5.449531554
98	5.438311182
99	5.430831984
100	5.421442369
101	5.410253114
102	5.40330068
103	5.396068352
104	5.388708551
105	5.384584513
106	5.379988093
107	5.370337332
108	5.365295392
109	5.360620652
110	5.354975683
111	5.34918399
112	5.343634671
113	5.337819936
114	5.333572095
115	5.329543964
116	5.324104504
117	5.317876521
118	5.315370433
119	5.309853905
120	5.305645522
121	5.299525805
122	5.296335533
123	5.29162456
124	5.288617683
125	5.286038694
126	5.281153287
127	5.278560109
128	5.273932637
129	5.268575532
130	5.261141736
131	5.256573818
132	5.254667193
133	5.2470928
134	5.241892349
135	5.239595979
136	5.230446955
137	5.226592673
138	5.225121079
139	5.221363498
140	5.218294064
141	5.217067044
142	5.213351637
143	5.210285191
144	5.207494065
145	5.20309966
146	5.196855619
147	5.193872754
148	5.190947434
149	5.187186015
150	5.184845592
151	5.182291584
152	5.177403131
153	5.174712317
154	5.171978868
155	5.165591104
156	5.162278343
157	5.157616629
158	5.154724141
159	5.150375725
160	5.147994498
161	5.143773833
162	5.139745686
163	5.137537602
164	5.135676875
165	5.134220667
166	5.131404606
167	5.128336353
168	5.126115053
169	5.123034381
170	5.117714971
171	5.115656996
172	5.112102804
173	5.106625442
174	5.101639174
175	5.099982455
176	5.098803562
177	5.093837129
178	5.091189488
179	5.085753977
180	5.082476513
181	5.07907173
182	5.077512747
183	5.076336935
184	5.074606491
185	5.065953079
186	5.06364961
187	5.062295224
188	5.060360736
189	5.058301619
190	5.053413772
191	5.049868
192	5.044857412
193	5.042670447
194	5.041226434
195	5.035321182
196	5.032532944
197	5.031104071
198	5.02974406
199	5.027726568
