iter	Passed	Remaining
0	2	581
1	5	574
2	8	556
3	10	519
4	12	491
5	14	483
6	16	454
7	18	432
8	19	406
9	20	386
10	21	369
11	22	356
12	23	343
13	24	329
14	25	319
15	27	315
16	28	311
17	29	303
18	30	294
19	31	285
20	32	277
21	33	272
22	35	271
23	36	264
24	36	256
25	37	250
26	38	243
27	38	238
28	39	232
29	40	227
30	40	222
31	41	218
32	42	214
33	43	210
34	44	208
35	45	207
36	46	203
37	46	199
38	47	194
39	47	190
40	48	186
41	48	182
42	49	179
43	49	175
44	49	172
45	50	169
46	51	166
47	51	163
48	51	160
49	52	157
50	52	154
51	53	151
52	53	149
53	54	146
54	54	144
55	55	143
56	56	141
57	57	139
58	58	138
59	59	138
60	60	137
61	60	135
62	61	133
63	61	131
64	62	129
65	62	127
66	63	125
67	63	123
68	63	121
69	64	119
70	64	117
71	65	115
72	65	114
73	65	112
74	66	110
75	66	108
76	67	107
77	67	105
78	67	104
79	68	102
80	68	101
81	69	99
82	69	98
83	70	97
84	71	96
85	72	95
86	73	95
87	74	94
88	74	92
89	74	91
90	75	90
91	75	89
92	76	87
93	76	86
94	77	85
95	77	84
96	77	82
97	78	81
98	78	80
99	79	79
100	79	78
101	80	77
102	80	75
103	81	74
104	81	73
105	81	72
106	82	71
107	82	70
108	84	70
109	85	69
110	86	69
111	87	68
112	87	67
113	88	66
114	88	65
115	89	64
116	89	63
117	90	62
118	90	61
119	91	60
120	91	59
121	91	58
122	92	57
123	92	56
124	93	55
125	93	55
126	94	54
127	94	53
128	95	52
129	95	51
130	95	50
131	96	49
132	96	48
133	97	47
134	97	47
135	98	46
136	99	45
137	100	45
138	101	44
139	101	43
140	102	42
141	102	41
142	103	41
143	103	40
144	103	39
145	104	38
146	104	37
147	105	36
148	105	36
149	106	35
150	106	34
151	107	33
152	107	33
153	107	32
154	108	31
155	108	30
156	109	29
157	109	29
158	110	28
159	110	27
160	111	26
161	111	26
162	112	25
163	112	24
164	113	23
165	113	23
166	113	22
167	114	21
168	114	21
169	115	20
170	115	19
171	116	18
172	116	18
173	117	17
174	117	16
175	117	16
176	118	15
177	118	14
178	119	13
179	119	13
180	120	12
181	120	11
182	121	11
183	121	10
184	122	9
185	122	9
186	122	8
187	123	7
188	123	7
189	124	6
190	124	5
191	125	5
192	125	4
193	126	3
194	126	3
195	127	2
196	127	1
197	127	1
198	128	0
199	128	0
