iter	RMSE
0	14.91870594
1	14.66467997
2	14.38650669
3	14.11585026
4	13.88639398
5	13.66887538
6	13.43113859
7	13.26931667
8	13.07099602
9	12.88591952
10	12.68020866
11	12.45722017
12	12.25344801
13	12.08973919
14	11.91495229
15	11.7668066
16	11.58839439
17	11.39276178
18	11.22815245
19	11.05315878
20	10.87041874
21	10.70252075
22	10.55802435
23	10.42880647
24	10.33206328
25	10.20513973
26	10.07151666
27	9.933499057
28	9.784227793
29	9.672114104
30	9.52907661
31	9.399749362
32	9.264003937
33	9.156124206
34	9.051526588
35	8.94505191
36	8.845657292
37	8.746143103
38	8.662351675
39	8.564293028
40	8.477993447
41	8.402147223
42	8.302759508
43	8.201338231
44	8.102876619
45	8.025943043
46	7.938696388
47	7.856525073
48	7.763028877
49	7.690881721
50	7.603523784
51	7.544558739
52	7.494464613
53	7.423803408
54	7.353605427
55	7.283423114
56	7.212069789
57	7.149956868
58	7.090040231
59	7.03557564
60	6.969773476
61	6.907000052
62	6.852576179
63	6.795654708
64	6.737650677
65	6.693460798
66	6.63506293
67	6.573799903
68	6.520189467
69	6.468942476
70	6.412770059
71	6.365532207
72	6.319161969
73	6.276694978
74	6.239177715
75	6.192701913
76	6.148619
77	6.114175624
78	6.075964109
79	6.049206469
80	6.014862865
81	5.983979121
82	5.948068236
83	5.908092165
84	5.875517754
85	5.844058618
86	5.799920111
87	5.766103054
88	5.73676805
89	5.699919094
90	5.669179373
91	5.634374026
92	5.600603301
93	5.566615858
94	5.536706714
95	5.502181825
96	5.491374986
97	5.469921276
98	5.442827249
99	5.415720262
100	5.385578163
101	5.360541747
102	5.329420822
103	5.303369496
104	5.290881492
105	5.265925512
106	5.238376644
107	5.211020766
108	5.181669239
109	5.155766648
110	5.134515562
111	5.110924731
112	5.083412645
113	5.059729892
114	5.036252305
115	5.022257306
116	5.001724616
117	4.985287688
118	4.962291006
119	4.941912081
120	4.922428559
121	4.907580385
122	4.893056134
123	4.874488011
124	4.856709842
125	4.838831213
126	4.825816872
127	4.811067573
128	4.797679171
129	4.782095753
130	4.758415501
131	4.739680833
132	4.725481722
133	4.709326154
134	4.69442838
135	4.678488225
136	4.665679302
137	4.648046871
138	4.642079823
139	4.624678691
140	4.612770394
141	4.596243654
142	4.578301721
143	4.562661516
144	4.550845221
145	4.534237211
146	4.518940428
147	4.506619144
148	4.494550198
149	4.486149535
150	4.472717579
151	4.465046571
152	4.454222708
153	4.446453379
154	4.444243972
155	4.433293748
156	4.422168133
157	4.412484895
158	4.40116688
159	4.387735271
160	4.375264949
161	4.362946602
162	4.356670943
163	4.344432073
164	4.326978233
165	4.322304767
166	4.308172727
167	4.297717657
168	4.289657202
169	4.28149339
170	4.270523416
171	4.261659305
172	4.249093421
173	4.242851723
174	4.23119148
175	4.221914944
176	4.215164184
177	4.204994942
178	4.198645446
179	4.18579982
180	4.17727965
181	4.164425953
182	4.157211159
183	4.146826431
184	4.136153561
185	4.127517275
186	4.114634519
187	4.106935396
188	4.099791733
189	4.090856264
190	4.084477028
191	4.079371983
192	4.070575876
193	4.066650684
194	4.061743558
195	4.053360176
196	4.047436407
197	4.038763708
198	4.033777126
199	4.025169353
200	4.019746851
201	4.017201859
202	4.011193965
203	4.003564864
204	3.999135489
205	3.989951371
206	3.986908188
207	3.983488702
208	3.97611616
209	3.965617791
210	3.955743183
211	3.948905373
212	3.940169937
213	3.932308545
214	3.927089888
215	3.922261572
216	3.917354045
217	3.911193019
218	3.904368295
219	3.896265139
220	3.893537323
221	3.886528966
222	3.876955611
223	3.868779803
224	3.859050976
225	3.851390481
226	3.84406154
227	3.837138884
228	3.832311945
229	3.827072529
230	3.824534276
231	3.81774148
232	3.815484271
233	3.813320808
234	3.807758026
235	3.805764879
236	3.802756582
237	3.797748029
238	3.789583506
239	3.788178405
240	3.780173983
241	3.774094694
242	3.772181955
243	3.768132417
244	3.766363191
245	3.764370059
246	3.757300655
247	3.752582974
248	3.750704186
249	3.743890481
250	3.740850055
251	3.739004719
252	3.7366761
253	3.729411163
254	3.726030315
255	3.719541304
256	3.712949481
257	3.710780652
258	3.708785239
259	3.702690749
260	3.697980468
261	3.69545519
262	3.693972893
263	3.688780138
264	3.686277568
265	3.684162704
266	3.682074182
267	3.675045834
268	3.672962747
269	3.670994519
270	3.658332716
271	3.653101274
272	3.646208746
273	3.641226816
274	3.635136983
275	3.633483264
276	3.631477843
277	3.624772301
278	3.623265493
279	3.621352994
280	3.615372422
281	3.610972347
282	3.609129127
283	3.604318596
284	3.596277327
285	3.588620818
286	3.58754229
287	3.581830559
288	3.574674095
289	3.565509708
290	3.556660672
291	3.555307342
292	3.553316277
293	3.547119385
294	3.537052926
295	3.536042813
296	3.534453847
297	3.525781161
298	3.524488689
299	3.523145505
300	3.511726197
301	3.506298627
302	3.499814166
303	3.493446156
304	3.489073862
305	3.48754596
306	3.480215049
307	3.479329764
308	3.478431256
309	3.467135172
310	3.460373228
311	3.458902415
312	3.454722366
313	3.450069076
314	3.444931675
315	3.439060778
316	3.43588657
317	3.435000106
318	3.42582476
319	3.419778234
320	3.418979344
321	3.413874315
322	3.412541862
323	3.403778404
324	3.394421387
325	3.383778692
326	3.37913758
327	3.370882884
328	3.364197239
329	3.363434236
330	3.359932047
331	3.35728657
332	3.352663143
333	3.348837937
334	3.34472006
335	3.335353153
336	3.328354798
337	3.323630206
338	3.316597533
339	3.312791537
340	3.309023228
341	3.308077882
342	3.307212637
343	3.300055275
344	3.299129985
345	3.297471407
346	3.296742682
347	3.291708705
348	3.279453762
349	3.278500055
350	3.272244336
351	3.271241092
352	3.265090499
353	3.264023104
354	3.261274294
355	3.257350928
356	3.251055023
357	3.243478212
358	3.23934224
359	3.238345566
360	3.232721305
361	3.229003076
362	3.228292763
363	3.227197425
364	3.221247792
365	3.211024422
366	3.207053405
